,aRarity,mRarity
2531,68.7,10.03
2532,212.17,1829.62
2536,136.06,61.18
2537,95.76,31.16
2539,131.89,21.57
2543,65.06,10.77
2544,721.27,39.82
2552,113.8,56.54
2553,95.53,47.58
2554,94.93,10.94
2556,164.13,598.63
2560,68.34,6.37
2563,52.26,2.31
2564,181.06,68.44
2565,289.39,215.98
2566,54.55,3.56
2567,2713.66,263.59
2568,360.37,202.98
2570,80.92,36.66
2571,178.99,523.1
2573,113.5,32.25
2591,143.26,72.26
2592,211.06,180.03
2593,169.73,169.8
2596,185.8,602.01
2598,103.53,34.79
2602,390.17,1718.01
2605,182.09,552.89
2612,125.13,45.18
2613,156.12,115.27
2614,119.0,237.71
2615,1229.81,297.21
2616,197.82,480.78
2618,144.62,37.7
2619,165.53,65.16
2620,81.2,46.1
2621,235.96,37.61
2626,73.31,19.28
2627,276.3,83.77
2631,115.15,22.56
2632,542.74,93.86
2633,90.7,13.75
2634,102.35,27.52
2635,52.13,6.54
2636,77.64,10.02
2638,132.73,37.23
2645,483.01,81.79
2646,191.76,194.45
2648,167.71,86.98
2650,104.87,52.7
2651,173.9,61.82
2655,139.62,123.69
2661,179.67,102.16
2663,105.18,128.36
2671,114.61,168.85
2672,215.76,48.93
2673,330.05,39.98
2675,100.47,33.31
2678,419.44,1913.57
2679,170.52,140.15
2680,88.59,11.26
2683,230.37,191.64
2684,601.8,1340.89
2686,76.47,21.16
2687,163.33,675.96
2695,114.2,20.68
2696,336.06,213.47
2697,101.93,114.53
2699,131.74,121.09
2700,152.32,68.35
2702,394.35,116.54
2704,149.82,3.29
2705,115.45,35.97
2706,320.66,11.88
2707,217.77,2793.53
2708,72.84,11.05
2709,771.04,37.92
2717,275.1,2553.89
2731,149.91,71.29
2739,936.24,21.04
2741,111.52,38.13
2747,423.86,181.2
2748,106.15,103.69
2749,94.39,14.96
2751,456.03,376.87
2752,558.21,233.74
2755,107.22,43.41
2756,211.66,520.94
2757,88.07,23.88
2758,159.38,121.27
2760,202.87,12.42
2765,100.73,28.77
2766,163.08,12.14
2768,91.55,11.09
2769,523.57,710.21
2770,452.94,733.18
2771,124.54,157.13
2772,156.11,177.35
2773,3688.16,2668.31
2774,71.48,21.15
2776,180.87,63.82
2777,120.79,43.27
2778,99.65,70.97
2779,496.98,101.12
2780,1809.3,38.94
2781,298.26,59.54
2787,390.74,258.92
2790,101.3,30.71
2795,137.34,15.91
2796,165.66,41.92
2797,205.21,142.98
2812,120.25,5.91
2813,101.62,41.09
2814,126.25,70.35
2815,163.07,47.85
2821,137.81,195.85
2827,166.67,688.47
2830,346.48,118.48
2839,946.01,385.23
2840,189.88,1228.79
2841,100.8,75.61
2842,79.69,30.13
2843,187.8,206.63
2847,115.64,38.11
2855,100.04,23.73
2856,421.83,212.8
2857,137.51,38.82
2858,77.92,27.97
2863,302.45,1005.26
2864,136.94,225.23
2865,181.67,378.79
2871,115.18,26.38
2881,72.42,13.23
2882,102.12,52.36
2884,189.11,1213.46
2885,93.68,23.46
2886,162.6,37.03
2887,527.8,2450.21
2890,144.36,78.45
2895,320.45,62.5
2896,109.75,90.92
2898,56.62,7.48
2899,555.28,511.07
2902,55.57,3.01
2903,329.31,51.28
2911,181.42,25.64
2912,194.07,14.35
2913,99.36,56.95
2914,375.39,869.93
2920,162.78,31.88
2921,104.66,40.97
2922,164.31,190.79
2924,131.5,179.29
2935,148.04,152.21
2936,144.53,156.63
2942,98.01,57.0
2943,161.08,38.82
2950,82.18,17.47
2951,387.65,155.07
2957,1411.23,199.27
2958,177.48,17.91
2959,72.71,16.77
2963,96.04,65.42
2965,94.1,24.33
2973,83.9,19.34
2974,226.08,125.62
2976,126.53,72.17
2983,108.21,84.65
2990,68.67,9.25
2992,99.93,37.54
2998,220.71,799.92
2999,954.28,117.75
3008,367.72,251.82
3014,656.24,1235.71
3016,191.87,143.2
3018,313.95,1044.96
3019,168.32,174.4
3020,149.15,133.42
3021,198.94,1358.25
3023,206.84,361.47
3025,110.68,24.87
3027,734.28,442.41
3028,206.45,141.23
3029,152.33,121.93
3032,319.29,231.18
3033,142.66,138.21
3041,202.74,115.05
3043,328.53,82.77
3044,2180.71,191.27
3046,57.4,4.67
3048,66.95,3.93
3049,65.23,12.61
3051,107.22,128.98
3054,113.68,9.22
3058,238.16,595.44
3059,302.71,397.69
3064,157.57,31.1
3066,147.98,144.41
3068,164.56,120.78
3075,92.56,26.15
3076,141.67,331.33
3078,176.73,46.32
3079,610.28,734.39
3080,202.0,250.39
3084,91.89,66.73
3085,234.14,3188.15
3090,59.64,5.86
3094,159.72,519.34
3098,75.82,12.89
3100,105.35,76.46
3101,129.68,60.07
3102,109.05,13.7
3103,128.93,152.07
3104,153.2,49.55
3105,343.43,305.74
3109,64.35,5.88
3110,261.32,515.84
3111,136.47,39.42
3113,119.46,34.26
3114,142.47,37.05
3116,148.07,23.54
3133,279.69,217.72
3135,129.71,68.24
3138,205.18,83.8
3139,191.26,92.8
3140,93.74,8.1
3141,112.39,118.8
3142,190.4,695.22
3143,179.34,93.53
3145,96.45,60.38
3146,140.08,63.14
3147,83.97,30.0
3148,84.39,25.82
3154,128.19,35.07
3155,172.08,367.1
3157,68.22,18.39
3160,162.63,38.72
3177,251.92,40.41
3178,113.35,56.44
3180,193.79,191.65
3195,151.33,5.18
3196,335.51,477.96
3197,182.48,35.51
3198,162.46,111.98
3199,133.72,123.89
3203,97.98,31.29
3206,185.89,67.93
3207,121.63,269.05
3209,204.59,205.6
3210,208.88,120.07
3212,190.67,74.05
3213,66.93,8.11
3220,224.78,218.34
3221,146.99,90.69
3224,150.83,111.24
3225,131.93,147.03
3228,108.06,17.16
3240,69.19,12.04
3241,2425.35,399.3
3242,219.02,180.99
3245,101.46,84.35
3246,243.65,717.25
3247,217.1,127.62
3252,116.14,21.09
3254,2320.37,810.74
3273,251.69,9.35
3279,95.11,37.13
3280,88.32,26.5
