,aRarity,mRarity
26122,74.26,27.96
26123,65.02,27.53
26124,67.26,25.49
26125,42.91,11.18
26126,83.85,34.28
26127,90.6,26.38
26128,85.83,61.44
26129,77.04,71.68
26130,102.84,37.17
26131,51.61,18.4
26132,106.81,72.96
26133,103.76,42.68
26134,111.7,36.88
26135,84.39,49.58
26136,93.8,54.45
26137,142.73,59.2
26138,203.12,45.99
26139,83.57,18.52
26140,85.91,52.96
26141,63.81,37.48
26142,170.88,27.06
26143,96.41,32.79
26144,91.2,36.24
26145,136.52,68.57
26146,59.09,24.33
26147,95.33,76.69
26148,77.63,24.09
26149,96.81,99.44
26150,87.83,26.24
26151,828.84,363.43
26152,99.03,45.46
26153,142.54,58.21
26154,73.9,43.13
26155,98.83,35.8
26156,82.38,44.17
26157,93.54,61.33
26158,61.84,34.12
26159,67.94,31.92
26160,50.85,19.38
26161,79.33,54.33
26162,274.0,42.47
26163,119.75,39.36
26164,63.11,22.99
26165,82.17,79.12
26166,287.31,105.6
26167,102.24,71.38
26168,68.68,25.64
26169,139.64,32.13
26170,84.08,104.86
26171,45.94,16.72
26172,98.42,33.52
26173,389.01,97.89
26174,52.55,21.05
26175,88.48,68.48
26176,69.27,48.16
26177,63.1,39.44
26178,89.77,58.72
26179,63.15,17.31
26180,70.26,44.15
26181,78.46,62.1
26182,145.83,39.87
26183,85.29,17.59
26184,104.04,34.18
26185,110.82,29.96
26186,52.86,18.2
26187,97.37,18.38
26188,65.81,43.82
26189,76.87,70.37
26190,69.99,24.94
26191,50.68,19.89
26192,79.6,71.22
26193,88.48,19.34
26194,69.81,42.29
26195,59.91,25.81
26196,857.91,42.08
26197,60.74,20.73
26198,195.42,117.64
26199,67.35,29.62
26200,77.63,47.74
26201,55.95,25.39
26202,128.12,78.33
26203,156.82,72.27
26204,102.93,62.47
26205,69.04,26.64
26206,70.4,34.79
26207,112.14,17.53
26208,119.99,63.39
26209,105.66,43.71
26210,117.36,343.12
26211,105.37,33.16
26212,147.02,156.58
26213,79.05,27.9
26214,60.85,34.96
26215,97.01,113.77
26216,104.94,38.94
26217,77.5,26.04
26218,88.24,25.95
26219,72.33,28.0
26220,110.26,123.88
26221,73.59,51.23
26222,68.49,28.94
26223,69.17,16.5
26224,53.21,16.96
26225,86.64,18.3
26226,55.47,18.58
26227,111.1,91.63
26228,67.86,29.54
26229,97.21,35.41
26230,136.32,271.61
26231,68.42,29.74
26232,61.04,15.43
26233,65.79,23.28
26234,64.13,17.83
26235,78.82,32.09
26236,60.67,29.71
26237,61.77,39.55
26238,65.06,38.72
26239,49.2,15.16
26240,149.12,124.2
26241,107.94,60.39
26242,57.19,14.94
26243,165.28,137.71
26244,98.14,76.69
26245,55.18,28.89
26246,70.78,27.71
26247,63.62,22.01
26248,104.84,36.5
26249,60.45,32.57
26250,99.6,127.17
26251,109.12,67.7
26252,73.99,28.64
26253,57.13,16.56
26254,75.18,29.87
26255,67.45,29.74
26256,60.62,14.85
26257,85.98,51.04
26258,59.01,20.98
26259,129.97,14.4
26260,377.47,55.45
26261,198.89,76.23
26262,63.75,26.89
26263,53.41,18.4
26264,45.14,12.61
26265,505.96,38.93
26266,78.43,30.02
